# The following is the parsable format, which can be fed to other
# programs. Each different item in every column has an unique ID
# starting usually from zero.
# CPU,Core,Socket,Node
0,0,0,0
1,1,0,0
2,2,0,0
3,3,0,0
4,4,0,0
5,5,0,0
6,6,0,0
7,7,0,0
8,8,0,0
9,9,0,0
10,10,0,0
11,11,0,0
12,12,0,0
13,13,0,0
14,14,0,0
15,15,0,0
16,16,0,0
17,17,0,0
18,18,0,0
19,19,0,0
20,20,0,0
21,21,0,0
22,22,0,0
23,23,0,0
24,0,0,0
25,1,0,0
26,2,0,0
27,3,0,0
28,4,0,0
29,5,0,0
30,6,0,0
31,7,0,0
32,8,0,0
33,9,0,0
34,10,0,0
35,11,0,0
36,12,0,0
37,13,0,0
38,14,0,0
39,15,0,0
40,16,0,0
41,17,0,0
42,18,0,0
43,19,0,0
44,20,0,0
45,21,0,0
46,22,0,0
47,23,0,0
